"Leeftijd referentiepersoon";"Perioden";"Regio's";"Particuliere huishoudens: samenstelling/Totaal particuliere huishoudens (aantal)";"Particuliere huishoudens: samenstelling/Eenpersoonshuishouden (aantal)";"Particuliere huishoudens: samenstelling/Meerpersoonshuishouden/Totaal meerpersoonshuishoudens (aantal)";"Particuliere huishoudens: samenstelling/Meerpersoonshuishouden/Niet-gehuwd paar/Totaal niet-gehuwde paren (aantal)";"Particuliere huishoudens: samenstelling/Meerpersoonshuishouden/Gehuwd paar/Totaal gehuwde paren (aantal)";"Particuliere huishoudens: samenstelling/Meerpersoonshuishouden/Eenouderhuishouden/Totaal eenouderhuishoudens (aantal)";"Particuliere huishoudens: grootte/Meerpersoonshuishouden/2 personen (aantal)";"Particuliere huishoudens: grootte/Meerpersoonshuishouden/3 personen (aantal)";"Particuliere huishoudens: grootte/Meerpersoonshuishouden/4 personen (aantal)";"Particuliere huishoudens: grootte/Meerpersoonshuishouden/5 of meer personen (aantal)"
"Totaal";"2019";"Limburg (PV)";529711;200960;328751;64192;226263;36117;190309;62978;57027;18437
"Totaal";"2020";"Limburg (PV)";532321;203728;328593;65573;224584;36311;191314;62497;56604;18178
"Totaal";"2021";"Limburg (PV)";533542;205045;328497;67779;222016;36543;192566;61910;55957;18064
"Totaal";"2022";"Limburg (PV)";538405;210049;328356;69255;220308;36523;193475;61441;55487;17953
"Totaal";"2023";"Limburg (PV)";545544;216195;329349;69860;219802;37317;194053;61772;55356;18168
"Totaal";"2024";"Limburg (PV)";551373;221744;329629;70843;218364;37857;195273;61691;54822;17843
"Totaal";"2025";"Limburg (PV)";553078;224066;329012;71129;216997;38242;195081;61531;54433;17967
"Totaal";"2010";"Amsterdam";422073;233891;188182;52948;90125;38731;103147;40923;29174;14938
"Totaal";"2011";"Amsterdam";427350;235961;191389;56505;90616;38971;105729;40774;29569;15317
"Totaal";"2012";"Amsterdam";432612;238897;193715;57968;91199;39254;106785;41193;30152;15585
"Totaal";"2013";"Amsterdam";436825;240699;196126;59861;91569;39445;107947;41496;30786;15897
"Totaal";"2014";"Amsterdam";440780;241225;199555;62412;92262;39548;109845;42005;31566;16139
"Totaal";"2015";"Amsterdam";449209;247417;201792;63813;92545;39974;111352;42007;31993;16440
"Totaal";"2016";"Amsterdam";456462;251828;204634;66099;92770;40238;113309;42367;32213;16745
"Totaal";"2017";"Amsterdam";462329;255703;206626;67716;93450;40095;114376;42584;32506;17160
"Totaal";"2018";"Amsterdam";467606;258090;209516;69689;94284;40370;116699;42939;32628;17250
"Totaal";"2019";"Amsterdam";470223;257453;212770;71542;95705;40415;119185;43188;32926;17471
"Totaal";"2020";"Amsterdam";475368;258962;216406;73988;97165;40383;122266;43536;33081;17523
"Totaal";"2021";"Amsterdam";474875;256596;218279;77323;96281;39972;124787;43208;32883;17401
"Totaal";"2022";"Amsterdam";484574;265133;219441;79306;95642;39808;126382;43087;32854;17118
"Totaal";"2023";"Amsterdam";505705;277385;228320;82209;100478;40935;132271;44540;33953;17556
"Totaal";"2024";"Amsterdam";515181;283997;231184;82701;101878;41111;134728;45213;34015;17228
"Totaal";"2025";"Amsterdam";516096;283658;232438;83179;102469;41235;135661;45781;33939;17057
